Make,Model,Vehicle Class,Engine Size (L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions (g/km)
BMW,Model B,Compact,2.9,8,M5,X,15.18,12.42,17.54,31.42,335.36
Honda,Model C,SUV,1.6,4,M6,Z,13.89,4.87,14.33,16.93,127.99
Toyota,Model A,SUV,5.9,4,A8,Z,7.23,4.52,17.9,34.28,256.26
BMW,Model A,SUV,1.1,4,A6,X,7.58,4.21,14.08,32.63,350.92
BMW,Model A,Sedan,4.7,8,M6,Z,18.18,6.08,8.82,41.87,349.06
Honda,Model A,Compact,4.8,4,M6,Z,13.38,8.56,13.74,34.6,386.84
Toyota,Model A,SUV,2.2,8,A8,X,18.05,14.29,14.13,25.47,309.48
Toyota,Model A,Compact,4.4,4,M6,Z,10.57,9.03,9.83,43.99,162.33
BMW,Model A,Sedan,1.5,6,M6,X,14.22,7.19,5.23,39.05,106.08
Ford,Model B,SUV,2.3,4,A6,Z,12.85,10.18,14.14,33.91,243.82
BMW,Model C,Truck,4.9,4,A6,Z,9.79,5.23,5.28,23.79,254.11
BMW,Model A,Sedan,5.3,8,A6,Z,12.05,10.7,13.21,26.21,172.08
BMW,Model B,Truck,4,8,M5,X,12.54,10.25,7.13,35.1,137.41
BMW,Model B,Compact,3.5,4,M5,Z,8.01,12.71,12.35,17.16,275.86
Honda,Model C,Compact,1.8,6,A6,X,9.73,14.85,11.55,22.7,329.28
Toyota,Model A,Sedan,1.3,4,A6,X,16.87,6.76,5.18,36.42,397.95
Honda,Model C,Compact,1.6,4,M5,Z,18.74,9.61,9.72,29.4,327.49
Honda,Model A,Truck,2.1,6,A8,X,10.4,14,12.81,27.07,338.09
Honda,Model B,SUV,2.7,8,M6,Z,9.6,12.64,16.03,19.54,284.94
BMW,Model B,SUV,2.9,4,M6,X,7.93,9.36,16.55,28.26,395.78
Ford,Model B,SUV,2.7,8,A6,X,15.18,14.4,11.29,38.12,291.99
Toyota,Model B,Sedan,2.2,8,A8,Z,9.85,4.63,14.47,22.92,358.08
Ford,Model C,Compact,3.5,6,M5,Z,19.82,14.24,9.11,15.16,383.74
